Id,SaveChapter,NextLv,ChapterState,JumpMark,Speaker ID,SpeakerName(Add),SpeakerPosition,isChoiceLoop,choiceKeyaPath,choiceKeyNeed,DialogueMode,BGFile,BG Image,Fade,Body,Head,Expression,Add Item,Del Item Path,Del Item,BGM File,Voice File,Voice Name,SFx File,Vibrate,CGFile,CG,DialogueBoxOnOff,Animation,ImgEffect,PropName,PropAnim,Mode,Investivation Label,Call Function,Call Function2,Road1,Road2,Road3,Main menu
0,Chapter1,-1,1,-1,0,,NoShow,,,,Default,Share,Black,0,,,,,,,Stop,,,Mountain Audio - Title Whoosh 1,0,,,0,,,,,,,ClearInventory(),,,,,
1,Chapter1,-1,0,-1,0,,NoShow,,,,Default,Share,Black,0,,,,,,,Stop,,,,0,,,0,Trailer,Trailer,,,,,,,,,,
2,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,Share,Black,1,,,,,,,恐怖,,,factory_siren1,0,,,1,,,,,,,,,,,,
3,Chapter1,-1,0,-1,0,,NoShow,,,,Default,Video,hellfire_bg,0,,,,,,,,,,factory_siren1,0,,,0,NamInHell,NamInHell,,,,,,,,,,
4,Chapter1,-1,0,-1,9,KwanHaNam,NoShow,,,,Default,Video,hellfire_bg,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Normal,,,,,關夏藍,0002,,0,,,1,,NamInHell,,,,,,,,,,
5,Chapter1,-1,0,-1,58,Errand,NoShow,,,,Default,Video,hellfire_bg2,0,,,,,,,,8句以下,0055,kick1,0,,,1,NamInHell2,NamInHell2,,,,,,,,,,
6,Chapter1,-1,0,-1,9,KwanHaNam,Right,,,,Default,Video,hellfire_bg2,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Talk,,,,,關夏藍,0003,,0,,,1,,,,,,,,,,,,
7,Chapter1,-1,0,-1,58,Errand,Left,,,,Default,Video,hellfire_bg2,0,GhostPolice_Body_Normal,GhostPolice_Head_Normal,GhostPolice_Expression_Normal,,,,,8句以下,0056,,0,,,1,,,,,,,,,,,,
8,Chapter1,-1,0,-1,9,KwanHaNam,Right,,,,Default,Video,hellfire_bg2,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Suprise,,,,,關夏藍,0004,,0,,,1,,,,,,,,,,,,
9,Chapter1,-1,0,-1,58,Errand,Left,,,,Default,Video,hellfire_bg2,0,GhostPolice_Body_Normal,GhostPolice_Head_Normal,GhostPolice_Expression_Normal,,,,,8句以下,0057,,0,,,1,,,,,,,,,,,,
10,Chapter1,-1,0,-1,9,KwanHaNam,Right,,,,Default,Video,hellfire_bg2,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Shock,,,,,關夏藍,0005,,0,,,1,,,,,,,,,,,,
11,Chapter1,-1,0,-1,58,Errand,Left,,,,Default,Video,hellfire_bg2,0,GhostPolice_Body_Normal,GhostPolice_Head_Normal,GhostPolice_Expression_Normal,,,,,8句以下,0058,,0,,,1,,,,,,,,,,,,
12,Chapter1,-1,0,-1,9,KwanHaNam,Right,,,,Default,Video,hellfire_bg2,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Suprise,,,,,關夏藍,0006,,1,,,1,,,,,,,,,,,,
13,Chapter1,-1,0,-1,58,Errand,Left,,,,Default,Video,hellfire_bg2,0,GhostPolice_Body_Normal,GhostPolice_Head_Normal,GhostPolice_Expression_Normal,,,,,8句以下,0059,,0,,,1,,,,,,,,,,,,
14,Chapter1,-1,0,-1,9,KwanHaNam,Right,,,,SmallIconBox,Video,hellfire_bg2,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Normal,,,,,,,,0,,,1,,,,,,,,,,,,
15,Chapter1,-1,0,17,9,KwanHaNam,Right,,,,Default,Video,hellfire_bg2,0,Nam_Body_Normal,Nam_Head_Normal,Nam_Expression_Normal,,,,,關夏藍,0007,,0,,,1,,,,,,,,,,,,
16,Chapter1,-1,0,-1,0,,NoShow,,,,Default,Share,Black,1,,,,,,,,,,,0,,,0,,,,,,,,,,,,
17,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,Share,Black,1,,,,,,,,,,,0,,,1,,,,,,,,,,,,
18,Chapter1,-1,0,20,997,Choice1,NoShow,,,,Default,Share,Black,0,,,,,,,,,,,0,,,1,,,,,,,,,,,,
19,Chapter1,-1,0,26,998,Choice2,NoShow,,,,Default,Share,Black,0,,,,,,,,,,,0,,,1,,,,,,,,,,,,
20,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,ChengWing2,ChengWingBuilding,1,,,,,,,Asian,,,,0,,,1,,,,,,,,,,,,
21,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,ChengWing2,ChengWingBuilding,0,,,,,,,,,,,0,,,1,FlashSiuSiu,FlashSiuSiu,,,,,,,,,,
22,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,ChengWing2,ChengWingBuilding,0,,,,,,,,,,,0,,,1,FlashTo,FlashTo,,,,,,,,,,
23,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,ChengWing2,ChengWingBuilding,0,,,,,,,,,,,0,,,1,FlashFong,FlashFong,,,,,,,,,,
24,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,ChengWing2,ChengWingBuilding,0,,,,,,,,,,,0,,,1,FlashGhostInternet,FlashGhostInternet,,,,,,,,,,
25,Chapter1,-1,0,-1,800,Narration,NoShow,,,,Default,ChengWing2,ChengWingBuilding,0,,,,,,,,,,,0,,,1,,,,,,,,,,,,
26,Chapter1,-1,0,-1,11,HouseWifeChan,Right,,,,Default,ChengWing2,Lobby_001,1,Betty_Body_Normal,Betty_Head_Normal,Betty_Expression_Happy,,,,BGM_安慰,陳師奶,0001,,0,,,1,,,,,,,,,,,,
27,Chapter1,-1,0,-1,1,LeeSing,Left,,,,Default,ChengWing2,Lobby_001,0,Sing_Body_Normal,Sing_Head_Normal,Sing_Expression_Sad,,,,,李誠,0001,,0,,,1,,,,,,,,,,,,
