Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
Chapter1,第一節,第一节,Chapter 1
Chapter2,第二節,第二节,Chapter 2
Chapter3,第三節,第三节,Chapter 3
Chapter4,第四節,第四节,Chapter 4
Chapter5,第五節,第五节,Chapter 5
Chapter6,第六節,第六节,Chapter 6
Chapter7,第七節,第七节,Chapter 7
Chapter8,第八節,第八节,Chapter 8
Chapter9,第九節,第九节,Chapter 9
Chapter10,第十節,第十节,Chapter 10
Chapter11,第十一節,第十一节,Chapter 11
Chapter12,第十二節,第十二节,Chapter 12
Chapter13,第十三節,第十三节,Chapter 13
Chapter14,第十四節,第十四节,Chapter 14
Chapter15,第十五節,第十五节,Chapter 15
Chapter16,第十六節,第十六节,Chapter 16
Chapter17,第十七節,第十七节,Chapter 17
Chapter18,第十八節,第十八节,Chapter 18
Chapter19,第十九節,第十九节,Chapter 19
Chapter20,第二十節,第二十节,Chapter 20
Chapter21,第二十一節,第二十一节,Chapter 21
S1,支線一,支线一,Side Story 1
S2,支線二,支线二,Side Story 2
S3,支線三,支线三,Side Story 3
S4,支線四,支线四,Side Story 4
S5,支線五,支线五,Side Story 5
S6,支線六,支线六,Side Story 6
S7,支線七,支线七,Side Story 7
S8,支線八,支线八,Side Story 8
S9,支線九,支线九,Side Story 9
S10,支線十,支线十,Side Story 10
End1,結局一,结局一,Ending 1
End2,結局二,结局二,Ending 2
End3,結局三,结局三,Ending 3
End4,結局四,结局四,Ending 4
End5,結局五,结局五,Ending 5
End6,結局六,结局六,Ending 6
End7,結局七,结局七,Ending 7
End8,結局八,结局八,Ending 8
Truth,真相,真相,The Truth
