Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
0,,,
1,（………）,（………）,(……)
2,（咦？）,（咦？）,(Huh?)
3,喂，怎麼在發呆？沒事吧？,喂，怎么在发呆？没事吧？,"Hey, how can you be in a daze? It's okay?"
4,咦？,咦？,Huh?
5,（這裡……升降機？）,（这里……升降机？）,(Here ... the lifting machine?)
6,（然後這些人是……？欸，我的頸好痛。）,（然后这些人是……？欸，我的颈好痛。）,"(Then these people are ...? Well, my neck hurts.)"
7,事先聲明，你們可別拖後腿了，我可不會顧著你們。,事先声明，你们可别拖后腿了，我可不会顾着你们。,"State in advance, don't drag your legs, I won't take care of you."
8,等一下…你們真的…不怕嗎？……別了吧﹗這大廈……肯定會再碰見到那些東西啊﹗,等一下…你们真的…不怕吗？ ……别了吧﹗这大厦……肯定会再碰见到那些东西啊﹗,Wait ... Are you really ... don't you be afraid? ... Farewell! This building ... I will definitely meet those things again.
9,（那些東西……我知道，他說的是鬼，很嚇人的那些鬼。）,（那些东西……我知道，他说的是鬼，很吓人的那些鬼。）,"(Those things ... I know, he is talking about ghosts, those scary ghosts.)"
10,別跟我說你怕鬼。,别跟我说你怕鬼。,Don't tell me that you are afraid of ghosts.
11,你說得可真輕鬆﹗這大廈有多猛你不知道啊﹗而且那些守則……,你说得可真轻松﹗这大厦有多猛你不知道啊﹗而且那些守则……,You are so easy to say How fierce this building is! And those rules ...
12,搞笑，我只是一個普通的外送員，別說什麼規則不規則的，別嚇自己好吧？,搞笑，我只是一个普通的外送员，别说什么规则不规则的，别吓自己好吧？,"Funny, I'm just an ordinary dealer, don't say that the rules are irregular, don't scare yourself?"
13,（我留意到我背上的外送背包。）,（我留意到我背上的外送背包。）,(I notice the delivery backpack on my back.)
14,（我是個外送員，這些人都是，我們來到這座大樓送外賣的。）,（我是个外送员，这些人都是，我们来到这座大楼送外卖的。）,"(I am a sender, these people are all, we came to this building to takeaway.)"
15,（本來這只是正常不過的工作，可是這裡卻有著極不尋常的東西……，就是他們說的那份守則……）,（本来这只是正常不过的工作，可是这里却有着极不寻常的东西……，就是他们说的那份守则……）,"(Originally, this is just a normal job, but there are extremely unusual things here ... The rules they say ...)"
16,顯示規則，共有十條,显示规则，共有十条,"Show the rules, there are ten in total"
17,（不知道是誰寫的，但我們如果不遵照它上面的規則來行動，就會有恐怖的事情發生……那是什麼呢？我好像知道的，但卻又想不起來。）,（不知道是谁写的，但我们如果不遵照它上面的规则来行动，就会有恐怖的事情发生……那是什么呢？我好像知道的，但却又想不起来。）,"(I don't know who wrote it, but if we do not follow the rules above, we will have horrible things ... what is it? I seem to know, but I can't remember it.)"
18,叮—,叮—,Ding-
19,,,
20,別廢話了，出去吧。,别废话了，出去吧。,"Don't talk nonsense, go out."
21,,,
