Key,Id,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
MedicianPot,,發出濃烈味道的中藥。,发出浓烈味道的中药。,Chinese medicine that is very strongly-flavoured.
SecurityRoomKey,,一條可打開保安室的鑰匙。,一条可打开保安室的钥匙。,A key to the security office.
FlashLight,,一支手電筒，巡邏時必備的工具。,一支手电筒，巡逻时必备的工具。,A must-have tool for patrol.
ChewingGum,,在地上撿到的口香糖。,在地上捡到的口香糖。,Gum picked up from the ground.
SecurityRoomWater,,一支乾淨的水。,一支干净的水。,Unopened bottle of water.
DrawerLightBulb,,一個新燈泡，又稱為電燈膽。,一个新灯泡，又称为电灯胆。,A new light bulb.
Crowbar,,一支實用的鐵撬。,一支实用的铁撬。,A useful tool for forcing things open.
Cloth,,一件女性的上衣。,一件女性的上衣。,A freshly-laundered women's top.
Recipe,,一本叫超省時廚房的食譜。,一本叫超省时厨房的食谱。,"A recipe book called ""Super Time-Saving Kitchen."""
FireExtinguisher,,用於滅火的工具。,用于灭火的工具。,Tool used to extinguish or control small fires.
BloodyRag,,一條染上了血跡的毛巾。,一条染上了血迹的毛巾。,A towel with blood stains.
DrawerKey,,在張德軍家拾到的一條抽屜鑰匙。,在张德军家拾到的一条抽屉钥匙。,A drawer key picked up at Dagwan Cheung's place.
Agreement_Betty,,陳師奶的搬遷同意書。,陈师奶的搬迁同意书。,Auntie Chun's signed relocation consent form.
Agreement_Kwan,,張德軍的搬遷同意書。,张德军的搬迁同意书。,Dagwan Cheung's signed relocation consent form.
Agreement_Lin,,笑笑的搬遷同意書。,笑笑的搬迁同意书。,Smiley's signed relocation consent form.
Agreement_Ting,,鄭雨婷的搬遷同意書。,郑雨婷的搬迁同意书。,Yueting Cheng's signed relocation consent form.
Agreement_YongFake,,王陽的搬遷同意書， 不過怎麼看著有點奇怪？,王阳的搬迁同意书， 不过怎么看着有点奇怪？,"Yeung Wang's signed relocation consent from, but there's something odd about it?"
Agreement_Yu,,余偉雄的搬遷同意書。,余伟雄的搬迁同意书。,Weihung Yu's signed relocation consent form.
Chocolate,,眼鏡造型朱古力，很有懷舊的感覺。,眼镜造型朱古力，很有怀旧的感觉。,The eyeglass shape of this pack of chocolates is very nostalgic.
DietaryWine,,涂抺在身上能有助醫治扭傷。,涂抺在身上能有助医治扭伤。,Applying it to the body can help heal sprains.
JadeNecklace,,一條原先張德軍配戴的頸飾。,一条原先张德军配戴的颈饰。,A pendant on a red string that Dagwan Cheung has been seen wearing.
JadeRing,,這是誰的玉戒指？,这是谁的玉戒指？,Whose jade ring is this?
JewelryBoxKey,,上面有著和首飾箱子上一樣的花型圖案。,上面有着和首饰箱子上一样的花型图案。,The patterns engraved on it are the same as the ones on the jewellery box.
Lighter,,在地上撿到的打火機。,在地上捡到的打火机。,A lighter picked up from the ground.
LightPipe,,在儲物室拿到的燈管。,在储物室拿到的灯管。,Tube light bulb used in the hallways found in the store room.
PaperFlower,,笑笑給我的紙花，看樣子似乎是忘憂草。,笑笑给我的纸花，看样子似乎是忘忧草。,A paper flower folded by Smiley.
PlasticBag,,一個用膠袋包緊的東西，裡面是藥嗎？,一个用胶袋包紧的东西，里面是药吗？,It's tightly sealed with a rubber band. What could be inside here?
Ring,,石妍丟掉的鑽石戒指，是她舊愛所贈送。,石妍丢掉的钻石戒指，是她旧爱所赠送。,The diamond ring tossed by Yin Shek from her ex.
RingCandy,,一粒戒指造型的糖果。,一粒戒指造型的糖果。,A lollipop in the shape of a ring loved by kids everywhere.
TrashRoomKey,,一把可以用來開啟一樓垃圾房的鑰匙。,一把可以用来开启一楼垃圾房的钥匙。,A key to the garbage room on the first floor.
StoreRoomKey,,可以用來打開儲物室。,可以用来打开储物室。,A key to the store room.
Temple,,一包紙巾。,一包纸巾。,A pack of tissues.
WaterSpray,,用於對付方娟靈體的神聖道具。,用于对付方娟灵体的神圣道具。,A sacred tool used to deal with Guen Fong's spirit body.
YanQHairTie,,謝恩喬作為報答贈送的橡皮筋，不知有何作用。,谢恩乔作为报答赠送的橡皮筋，不知有何作用。,"A used hair elastic from Yankiew Tse, what is the point of this?"
Baby,,不知明的嬰兒胚胎？？,不知明的婴儿胚胎？ ？,"Unknown fetus, wtf?!"
ChiHungAdvertisement,,去志雄夜總會一定能讓各位大叔玩得盡興啊。,去志雄夜总会一定能让各位大叔玩得尽兴啊。,Going to Chui Hung Nightclub will surely be a great time.
BadGirlPoster,,到底有多渣啊？不過這女生看著有點眼熟啊。,到底有多渣啊？不过这女生看着有点眼熟啊。,How sleazy is she? This picture does look familiar though.
HaLamAdvertisement,,夏藍帶你走進神秘的歡樂世界。,夏蓝带你走进神秘的欢乐世界。,Ha Lam will take you into a mysterious world of joy.
LeaveHomeSafe,,昌榮樓的安靜出走，誰會掃啊﹗,昌荣楼的安静出走，谁会扫啊﹗,"Leave Cheung Wing Building quietly, do it soon!"
LeeSumAvertisement,,聽說這賓館曾經在某個房間發現過斷肢…,听说这宾馆曾经在某个房间发现过断肢…,Rumour has it that a severed limb was found left in a room in this hotel.
NoDecorationPoster,,正所謂一動不如一靜，無裝修是最好的裝修。,正所谓一动不如一静，无装修是最好的装修。,"As the saying goes, a deliberate inaction is better than a blind action. No decoration is the best decoration."
Poster2,,這份日報很有名，內容豐富，人渣必看。,这份日报很有名，内容丰富，人渣必看。,"This daily newspaper is very famous, rich in content, and a must-read for scumbags."
