Key,Id,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
MedicianPot,,中藥,中药,Traditional Chinese Medicine
SecurityRoomKey,,保安室鑰匙,保安室钥匙,Security Room Key
FlashLight,,手電筒,手电筒,Flashlight
ChewingGum,,口香糖,口香糖,Chewing Gum
SecurityRoomWater,,水,水,Water
DrawerLightBulb,,燈泡,灯泡,Light Bulb
Crowbar,,鐵撬,铁撬,Crowbar
Cloth,,女性上衣,女性上衣,Women's Top
Recipe,,食譜,食谱,Recipe Book
FireExtinguisher,,滅火筒,灭火筒,Fire Extinguisher
BloodyRag,,血毛巾,血毛巾,Blood-Stained Towel
DrawerKey,,抽屜鎖匙,抽屉锁匙,Drawer Key
Agreement_Betty,,搬遷同意書,搬迁同意书,Relocation Consent Form
Agreement_Kwan,,搬遷同意書,搬迁同意书,Relocation Consent Form
Agreement_Lin,,搬遷同意書,搬迁同意书,Relocation Consent Form
Agreement_Ting,,搬遷同意書,搬迁同意书,Relocation Consent Form
Agreement_YongFake,,搬遷同意書,搬迁同意书,Relocation Consent Form
Agreement_Yu,,搬遷同意書,搬迁同意书,Relocation Consent Form
Chocolate,,眼鏡朱古力,眼镜朱古力,Eyeglass Chocolate
DietaryWine,,跌打酒,跌打酒,Liniment
JadeNecklace,,平安扣,平安扣,Jade Pendant
JadeRing,,玉戒指,玉戒指,Jade Ring
JewelryBoxKey,,首飾箱的鑰匙,首饰箱的钥匙,Jewellery Box Key
Lighter,,打火機,打火机,Lighter
LightPipe,,光管,光管,Tube Light Bulb
PaperFlower,,紙花,纸花,Origami Flower
PlasticBag,,被紅膠袋包住的不知明東西,被红胶袋包住的不知明东西,Red Plastic Bag with Unknown Contents
Ring,,鑽石戒指,钻石戒指,Diamond Ring
RingCandy,,戒指糖,戒指糖,Ring Candy
TrashRoomKey,,垃圾房鑰匙,垃圾房钥匙,Garbage Room Key
StoreRoomKey,,儲物室鑰匙,储物室钥匙,Store Room Key
Temple,,紙巾,纸巾,Tissues
WaterSpray,,裝了符水的噴壺,装了符水的喷壶,Spray Bottle Filled with Holy Water
YanQHairTie,,恩喬用過的橡皮筋,恩乔用过的橡皮筋,Yankiew's Used Hair Elastic
Baby,,嬰兒胚胎,婴儿胚胎,Body of a Fetus
ChiHungAdvertisement,,志雄夜總會招貼,志雄夜总会招贴,Chui Hung Nightclub Poster
BadGirlPoster,,小心渣女海報,小心渣女海报,Beware of Sleazy Woman Poster
HaLamAdvertisement,,夏藍歡樂城招貼,夏蓝欢乐城招贴,Ha Lam Happy Land Poster
LeaveHomeSafe,,安靜出走招貼,安静出走招贴,Go Quietly Poster
LeeSumAvertisement,,麗芯賓館招貼,丽芯宾馆招贴,Lai Sam Hotel Poster
NoDecorationPoster,,無裝修招貼,无装修招贴,No Decoration Poster
Poster2,,人渣日報,人渣日报,Scumbag Daily
SellHousePoster,,波濤花園招貼,波涛花园招贴,Great Waves Garden Property Listing Poster
SiuLamRentHouse,,小林物業招貼,小林物业招贴,Shaolin Real Estate Poster
SpittingPoster,,不准吐痰單張,不准吐痰单张,Don't Spit Poster
TaxiPoster,,電召的士單張,电召的士单张,Taxi Advertisement Poster
ThrowRubbishPoster,,亂拋垃圾單張2,乱抛垃圾单张2,Don't Litter Poster 2
VitaPoster,,維他媽小姐單張,维他妈小姐单张,Miss Vitama Poster
ThrowRubbishPoster2,,亂拋垃圾單張,乱抛垃圾单张,Don't Litter Poster
Poley,,普洱汽水單張,普洱汽水单张,Pu-erh Soda Poster
NoSmoke,,禁煙海報,禁烟海报,Don't Smoke Poster
LeeChoiWa,,李彩華小背心傳單,李彩华小背心传单,Lei Choi Wah Vest Flyer
GenuineNoodles,,車仔麵傳單,车仔面传单,Cart Noodles Poster
KeepCleanPoster,,保持衛生海報,保持卫生海报,Stay Hygienic Poster
