Key,Id,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
MedicianPot,,,,
SecurityRoomKey,,,,
FlashLight,,一支手電筒，巡邏時應該需要用得上吧。,一支手电筒，巡逻时应该需要用得上吧。,A flashlight could come in handy.
ChewingGum,,怎麼有口香糖？而且還是沒打開過包裝的，先收起來吧。,怎么有口香糖？而且还是没打开过包装的，先收起来吧。,"Why is there chewing gum? The package is sealed, so I'll take it."
SecurityRoomWater,,拿給那醉酒漢吧。,拿给那醉酒汉吧。,Grab this to take to the drunk.
DrawerLightBulb,,,,
Crowbar,,,,
Cloth,,,,
Recipe,,,,
FireExtinguisher,,得到「滅火筒」。,得到「灭火筒」。,A fire extinguisher!
BloodyRag,,找到「染血的毛巾」。,找到「染血的毛巾」。,Found this blood-stained towel.
DrawerKey,,,,
Agreement_Betty,,,,
Agreement_Kwan,,,,
Agreement_Lin,,,,
Agreement_Ting,,,,
Agreement_YongFake,,,,
Agreement_Yu,,,,
Chocolate,,,,
DietaryWine,,,,
JadeNecklace,,,,
JadeRing,,,,
JewelryBoxKey,,,,
Lighter,,,,
LightPipe,,,,
PaperFlower,,,,
PlasticBag,,,,
Ring,,,,
RingCandy,,,,
TrashRoomKey,,,,
StoreRoomKey,,,,
Temple,,,,
WaterSpray,,,,
YanQHairTie,,,,
Baby,,,,
ChiHungAdvertisement,,,,
BadGirlPoster,,,,
HaLamAdvertisement,,,,
LeaveHomeSafe,,,,
LeeSumAvertisement,,,,
NoDecorationPoster,,,,
Poster2,,,,
SellHousePoster,,,,
SiuLamRentHouse,,,,
SpittingPoster,,,,
TaxiPoster,,,,
ThrowRubbishPoster,,,,
VitaPoster,,,,
ThrowRubbishPoster2,,,,
Poley,,,,
NoSmoke,,,,
LeeChoiWa,,,,
GenuineNoodles,,,,
KeepCleanPoster,,,,
