Key,Id,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
ChickenBowl,,把藥倒在這碗裡吧。,把药倒在这碗里吧。,Pour the medicine into this bowl.
ChickenBowlFill,,拿給阿娟喝吧。,拿给阿娟喝吧。,Take it to Guen.
HawthornCake,,這裡有些「山渣餅」，舒緩苦藥用的，一拼給阿娟吃吧。,这里有些「山渣饼」，舒缓苦药用的，一拼给阿娟吃吧。,Here are some haw flakes for Guen to help with the bitter taste of the Chinese medicine.
SecurityDeskBook,,這是我的工作日程表，上面有說我需要做什麼，大致上就是每天去巡一巡樓，在每一層的指定位置簽薄吧。&看起來很簡單，但總是放心不下…,这是我的工作日程表，上面有说我需要做什么，大致上就是每天去巡一巡楼，在每一层的指定位置签薄吧。 &看起来很简单，但总是放心不下…,"This is my work schedule for the day. I need to patrol the building every day and a book on each floor. Looks simple, but I have a bad feeling about this."
SecurityDeskCCTV,,這台監控可以看到升降機裡的情況，不過一般也不會去看吧，而且黑白畫面很落後啊。,这台监控可以看到升降机里的情况，不过一般也不会去看吧，而且黑白画面很落后啊。,"This surveillance screen shows what's going on in the elevator, but there's not much to see and the black and white picture isn't very good."
SecurityDeskClock,,能顯示這裡的時間，話說我一天上班幾多小時啊？,能显示这里的时间，话说我一天上班几多小时啊？,Tells the time. How many hours a day do I have to work?
SecurityDeskMigrateAgreement,,這是住戶需要簽回的搬遷同意書。&陳伯剛交帶過，還沒搬走的住戶要提醒一下，讓他們把同意書簽好，這是最棘手的…,这是住户需要签回的搬迁同意书。 &陈伯刚交带过，还没搬走的住户要提醒一下，让他们把同意书签好，这是最棘手的…,"These are the relocation consent forms that residents sign. Uncle Chan handed them to me, and the residents who haven't moved yet must sign one. This isn't going to be an easy task."
SecurityDeskPhone,,座機電話，住客可以直接打來給我。,座机电话，住客可以直接打来给我。,A landline phone so residents can call the security desk.
Lift,,這幢樓只有一台升降機，如果不想等待也可以走樓梯。&不過現在先看看這地下有甚麼東西吧。,这幢楼只有一台升降机，如果不想等待也可以走楼梯。 &不过现在先看看这地下有什么东西吧。,There is only one lift in this building but I can take the stairs if I don't want to wait. I'll take a look at what's on the ground floor first.
Mailbox,,這大樓每層都有很多個單位啊，不過貌似我只需要巡邏一至六樓。這樣也好，上落走樓梯也不會太辛苦。,这大楼每层都有很多个单位啊，不过貌似我只需要巡逻一至六楼。这样也好，上落走楼梯也不会太辛苦。,"There are many flats on each floor of this building, but I only need to patrol the first to sixth floors. That's not too bad, it won't be too hard to use the stairs."
NoticeBox,,這告示板貼著了一些住宅需知和特殊事項。&天啊，居然還有通緝告示，莫非這裡附近有連環殺人犯嗎？ ﹗,这告示板贴着了一些住宅需知和特殊事项。 &天啊，居然还有通缉告示，莫非这里附近有连环杀人犯吗？ ﹗,This bulletin board has some information for residents. It looks like there's a wanted poster. Could there be a murderer nearby?!
SecurityRoomDoor,,保安室，不過鎖上了。,保安室，不过锁上了。,"Security room, but it's locked."
Stair,,晚點再巡樓吧，先熟識一下環境。,晚点再巡楼吧，先熟识一下环境。,I'll patrol the building later once I'm finished checking everything on this floor.
SecurityRoomBed,,這裡還有摺床啊？可以明正言順地睡覺？,这里还有折床啊？可以明正言顺地睡觉？,A folding deckchair? Doesn't look that comfortable.
SecurityRoomKeyBox,,這是後備的鑰匙箱，放著某些單位的鑰匙。 &恐怕是那些已遷出的住戶留下的吧。,这是后备的钥匙箱，放着某些单位的钥匙。 &恐怕是那些已迁出的住户留下的吧。,This is a backup key box that holds keys to certain flats. Perhaps from residents who have already moved out.
SecurityRoomWater,,有瓶水放在這裡，是給我喝的嗎？不過現在不需要，先找找手電筒吧。,有瓶水放在这里，是给我喝的吗？不过现在不需要，先找找手电筒吧。,"There is a bottle of water here, is it for me? I'm not thirsty right now, I need to find a flashlight."
SecurityRoomCCTV,,監視鏡頭，可以查看大廈的不同地方。,监视镜头，可以查看大厦的不同地方。,Surveillance screen showing different parts of the building.
SecurityRoomLocker,,櫃子有很多灰塵，究竟有多久沒有被碰過了？,柜子有很多灰尘，究竟有多久没有被碰过了？,This cabinet is really dusty. How long has it been since it was touched?
SecurityRoomBoard,,有張新聞張貼在壁板上，上面寫著甚麼？……危險人渣？很恐怖啊。,有张新闻张贴在壁板上，上面写着什么？ ……危险人渣？很恐怖啊。,There's some news posted on the wall. What does it say? Dangerous and sleazy person? Sounds scary.
Lift,,按電梯吧。,按电梯吧。,Press the button for the elevator.
Stair,,那麼，要直接走樓梯麼？……………不對，那太蠢了。&這大廈就6層，一層一層走上樓多累人，當然是先搭電梯上最高層再往下走啊。,那么，要直接走楼梯么？ ……………不对，那太蠢了。 &这大厦就6层，一层一层走上楼多累人，当然是先搭电梯上最高层再往下走啊。,"Take the stairs? No, that seems too tiring. The most efficient way would be to take the elevator to the highest floor first and then walk down floor by floor."
RedBook,,簽名薄，我就是要在這上面簽名…………咦？地上有的是甚麼？,签名薄，我就是要在这上面签名…………咦？地上有的是什么？,"Signature book, I just need to sign here. Huh...what is there on the ground?"
Hula,,啊？呼拉圈，小時候也常常玩，真令人懷念呢。,啊？呼拉圈，小时候也常常玩，真令人怀念呢。,"A hula hoop. I used to play with these when I was a kid, so many memories."
BettyApartment,,這裡是陳師奶的單位，剛才聽到她走了進去。,这里是陈师奶的单位，刚才听到她走了进去。,This is Auntie Chun's flat. I noticed her walk in a moment ago.
