Key,Id,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
ChickenBowl,,哇，好熱。,哇，好热。,"Ow, it's so hot."
ChickenBowlFill,,,,
HawthornCake,,,,
SecurityDeskBook,,,,
SecurityDeskCCTV,,,,
SecurityDeskClock,,,,
SecurityDeskMigrateAgreement,,,,
SecurityDeskPhone,,,,
Lift,,,,
Mailbox,,,,
NoticeBox,,,,
SecurityRoomDoor,,進去吧。,进去吧。,I can get in now.
Stair,,,,
SecurityRoomBed,,,,
SecurityRoomKeyBox,,,,
SecurityRoomWater,,,,
SecurityRoomCCTV,,,,
SecurityRoomLocker,,,,
SecurityRoomBoard,,,,
Lift,,,,
Stair,,,,
RedBook,,,,
Hula,,,,
BettyApartment,,,,
ToC,,,,
EightMirror,,,,
CorridorEnd,,,,
BeerCan,,,,
Lift,,,,
Stair,,,,
Genuine,,,,
Apartment113,,,,
MileStone,,,,
FaiChunHealthy,,,,
FaiChunGutCheng,,,,
Lift,,,,
Stair,,,,
Notice,,,,
TrashBin,,,,
BedroomLightBulb,,,,
BedroomBed,,,,
BedroomSmallCarbinat,,,,
BedroomBigCarbinat,,,,
DinningRoomBread,,,,
DinningRoomLemonTea,,,,
DinningRoomCarbinat,,,,
DinningRoomBox,,,,
Bed,,,,
Kitchen,,,,
Blood,,,,
WoodBoard,,,,
Kwan,,,,
Advertisement,,,,
Rubbish,,,,
Pillow,,,,
Dinner,,,,
Kitchen,,,,
Door,,,,
Light,,,,
Cig,,,,
Draw,,,,
Spray,,,,
WheelChair,,,,
Bag,,,,
BoZiGame,,,,
GlassChocolate,,,,
Apartment113Fire,,,,
Stair,,,,
F1,,,,
F4,,,,
Nothing,,,,
SecurityRoomBed,,,,
NoticeA,,,,
NoticeB,,,,
NoticeC,,,,
LunchBox,,,,
KwanDrawer,,,,
KwanDrawerOpened,,,,
KwanCarbinat,,,,
KwanAirConditioner,,,,
KwanPaperBox,,,,
WifeLetter,,,,
Kitchen,,,,
FongGhost,,,,
KitchenBG,,,,
FongGhost,,,,
KitchenMedicinePot,,,,
KitchenWork,,,,
KitchenSink,,,,
KitchenStove,,,,
Blood,,,,
ChunKee,,,,
ClothButton,,,,
Apartment101,,,,
EightMirror,,,,
BeerCan,,,,
Fu,,,,
MileStone,,,,
FaiChunHealthy,,,,
FaiChunGutCheng,,,,
Lin,,,,
3Floor,,,,
EndInvestigation,,,,
Nothing,,,,
To3FloorStament2,,,,
ToBadGuyStament1,,,,
ToBadGuyStament2,,,,
ToKwanStament1,,,,
ToKwanStament2,,,,
TrashRoomDoor,,開門進去吧。,开门进去吧。,"It's open, I can go check what's in here now."
HempBag,,,,
HempBagOpen,,,,
Rubbish,,,,
NoFongThings,,,,
RubbishA,,,,
Kitchen,,,,
RubbishB,,,,
Wok,,,,
Stove,,,,
KitchenProps,,,,
ToiletWashBasin,,,,
