Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
0,,,
1,我,我,I
2,我,我,I
3,潘承允,潘承允,Pan Chengyun
4,樊羽,樊羽,Fan Yu
5,我,我,I
6,我,我,I
7,程勇男,程勇男,Cheng Yongnan
8,鍾和強,钟和强,Zhong Heqiang
9,我,我,I
10,程勇男,程勇男,Cheng Yongnan
11,鍾和強,钟和强,Zhong Heqiang
12,程勇男,程勇男,Cheng Yongnan
13,我,我,I
14,我,我,I
15,我,我,I
16,,,
17,我,我,I
18,旁白,旁白,Narration
19,,,
20,潘承允,潘承允,Pan Chengyun
21,,,
22,程勇男,程勇男,Cheng Yongnan
23,,,
24,鍾和強,钟和强,Zhong Heqiang
25,,,
26,,,
27,我,我,I
28,潘承允,潘承允,Pan Chengyun
29,Choice1,Choice1,Choice1
30,Choice2,Choice2,Choice2
31,樊羽,樊羽,Fan Yu
32,程勇男,程勇男,Cheng Yongnan
33,潘承允,潘承允,Pan Chengyun
34,潘承允,潘承允,Pan Chengyun
35,潘承允,潘承允,Pan Chengyun
36,樊羽,樊羽,Fan Yu
37,潘承允,潘承允,Pan Chengyun
38,我,我,I
39,旁白,旁白,Narration
40,潘承允,潘承允,Pan Chengyun
41,我,我,I
42,樊羽,樊羽,Fan Yu
43,潘承允,潘承允,Pan Chengyun
44,旁白,旁白,Narration
45,潘承允,潘承允,Pan Chengyun
46,,,
47,旁白,旁白,Narration
48,,,
49,,,
50,潘承允,潘承允,Pan Chengyun
51,,,
52,,,
53,,,
54,我,我,I
55,樊羽,樊羽,Fan Yu
56,潘承允,潘承允,Pan Chengyun
57,鍾和強,钟和强,Zhong Heqiang
58,我,我,I
59,程勇男,程勇男,Cheng Yongnan
60,鍾和強,钟和强,Zhong Heqiang
61,程勇男,程勇男,Cheng Yongnan
62,旁白,旁白,Narration
63,樊羽,樊羽,Fan Yu
64,潘承允,潘承允,Pan Chengyun
65,樊羽,樊羽,Fan Yu
66,,,
67,我,我,I
68,我,我,I
69,,,
70,,,
71,,,
72,樊羽,樊羽,Fan Yu
73,住客,住客,Resident
74,住客,住客,Resident
75,樊羽,樊羽,Fan Yu
76,住客,住客,Resident
77,樊羽,樊羽,Fan Yu
78,住客,住客,Resident
79,樊羽,樊羽,Fan Yu
80,,,
81,我,我,I
82,我,我,I
83,旁白,旁白,Narration
84,我,我,I
85,我,我,I
86,我,我,I
87,,,
88,我,我,I
89,我,我,I
90,我,我,I
91,我,我,I
92,潘承允,潘承允,Pan Chengyun
93,我,我,I
94,我,我,I
95,旁白,旁白,Narration
96,,,
97,旁白,旁白,Narration
98,樊羽,樊羽,Fan Yu
99,樊羽,樊羽,Fan Yu
100,,,
101,旁白,旁白,Narration
102,旁白,旁白,Narration
103,我,我,I
104,樊羽,樊羽,Fan Yu
105,,,
106,,,
107,,,
