Key,Chinese (Traditional)(zh-TW),Chinese (Simplified)(zh-CN),English (United States)(en-US)
MainTitle_Title,一樓的鎖匠,一楼的锁匠,The locksmith on the first floor
ContactUs_Title,聯絡我們,联络我们,Contact Us
ContactUs_Content,如購買上遇到任何問題或 其他意見，請聯絡客服：,如购买上遇到任何问题或 其他意见，请联络客服：,"If you encounter any problems or other opinions on the purchase, please contact the customer service:"
CGandAchievement_Title,圖庫及成就,图库及成就,Gallery and Achievements
Collection_Title,收藏,收藏,Collection
Chapter_Title,選擇章節,选择章节,Chapters
ConfirmPay_Content,確定要消耗10個玉石解鎖章節嗎?,确定要消耗10个玉石解锁章节吗?,Are you sure to consume 10 jade unlock chapters?
ConfirmQuit_Content,確定要退出遊戲?,确定要退出游戏?,Are you sure you want to exit the game?
Setting_Title,設定,设置,Settings
Music_Setting_Subtitle,音樂,音乐,BGM
SFx_Setting_Subtitle,音效,音效,SFx
cSound_Setting_Subtitle,配音,配音,Dub
Language_Setting_Subtitle,語言,语言,LAN
Quit_Setting_Subtitle,退出遊戲,退出游戏,Quit
MainMenu_Setting_Subtitle,首頁,首页,Menu
NoJade_Content,不夠玉石,不够玉石,Not enough jade
Shop_Title,商店,商店,Shop
StartGame_Title,開始遊戲,开始游戏,Start
ContinueGame_Title,繼續遊戲,继续游戏,Continue
ConfirmEndInvestigation_Content,確定要結束調查嗎?,确定要结束调查吗?,Are you sure to end the investigation?
PressGame1_Tut,按住要清理的垃圾，幾秒後它會自動消失,按住要清理的垃圾，几秒后它会自动消失,"Hold down the garbage to be cleaned, it will automatically disappear after a few seconds"
PressGame2_Tut,由高至低清理紙箱，按住幾秒後它會自動消失,由高至低清理纸箱，按住几秒后它会自动消失,"Clean the carton from high to low, and it will disappear automatically after holding it for a few seconds"
Comment_Title,前往評論,前往评论,Go to comment
MainMenu2_Subtitle,目錄,目录,Table of contents
Restart_BTN,重來,重来,Again
ThinkAboutIt_Comment_BTN,考慮一下,考虑一下,think about it
Inventory_Title,道具,道具,Prop
NextChapter_BTN,下一章,下一章,Next chapter
ThinkAboutIt2_Comment_BTN,再考慮一下嘛……,再考虑一下嘛……,Consider it again ...
InventoryCollection_Title,收藏品,收藏品,Collection
EndInvestigation_Title,結束調查,结束调查,End the investigation
BossGame1_Tut,快消滅肉塊!,快消灭肉块!,Destroy meat!
Investigation1_Tut,可以點擊螢幕上的道具以調查場景,可以点击萤幕上的道具以调查场景,You can click on the screen to investigate the scene
FindObjectGame1_Tut,移動螢幕上的手電筒以調查場景,移动萤幕上的手电筒以调查场景,The flashlight on the mobile screen is used to investigate the scene
ChaseGame2_Tut1,不要停!快逃!,不要停!快逃!,Don't stop! Escape!
HideAndSeekGame_Tut2,點擊左下方的按鈕向左行,点击左下方的按钮向左行,Click the button at the bottom left to the left
HideAndSeekGame_Tut,!!注意音量!!,!!注意音量!!,!! Pay attention to the volume !!
ChaseGame2_Tut2,快速按下左右兩個鍵進行逃跑,快速按下左右两个键进行逃跑,Press the left and right keys to escape quickly
MoveGame1_Tut,點擊右下方的按鈕向右行,点击右下方的按钮向右行,Click the button at the bottom right to the right
