一樓的鎖匠,一楼的锁匠,電箱鎖匙,找到了！去打開電箱吧。,保安室電箱的鎖匙。,#REF!,#REF!,#REF!,怪了，這是誰的行李？,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局一,完成结局一,【自我解脫】,【自我解脱】,方娟,繁體中文
聯絡我們,联络我们,舊電箱保險絲,,保安室電箱被李誠換出來的舊保險絲。,#REF!,#REF!,#REF!,陳伯又不知跑到哪裡了，總覺得同是保安員就一直只有我在做事呀。,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局二,完成结局二,【粉碎】,【粉碎】,男人,简体
如購買上遇到任何問題或 其他意見，請聯絡客服：,如购买上遇到任何问题或 其他意见，请联络客服：,電箱保險絲,回去電箱那邊換保險絲吧。,保安室電箱的保險絲。,#REF!,#REF!,#REF!,先查一下保安室裡的電錶吧。,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局三,完成结局三,【重遇】,【重遇】,李誠,繁体
圖庫及成就,图库及成就,普通燈籠,這個燈籠原本是放這個位置的嗎？,一個神壇燈籠。,#REF!,#REF!,#REF!,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局四,完成结局四,【結連】,【结连】,陳伯,简体
收藏,收藏,天字燈籠,是不是打以用打火機來點燃某些東西呢？,抽屜裏的打火機。,#REF!,#REF!,#REF!,鎖住了，找找有沒有鎖匙,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局五,完成结局五,【遺憾】,【遗憾】,我,喜歡這遊戲嗎？
選擇章節,选择章节,#REF!,這個燈籠原本是放這個位置的嗎？,"一個神壇燈籠，上面印有""天""字。",#REF!,#REF!,#REF!,這是甚麼？不過先找鎖匙吧。,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局六,完成结局六,【玩物】,【玩物】,女住客 賴美惠,歡迎給我們評論喔﹗
確定要消耗10個玉石解鎖章節嗎?,确定要消耗10个玉石解锁章节吗?,天女像,這個玉像原本是放這個位置的嗎？,一個古代女性的玉像。,#REF!,#REF!,#REF!,9032？是甚麼東西的密碼嗎？不過先找鎖匙吧。,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局七,完成结局七,【新開始】,【新开始】,胖師奶,喜欢这游戏吗？
確定要退出遊戲?,确定要退出游戏?,櫃門鎖匙,旁邊櫃門鎖上了。這鎖匙是不是可以把它打開？,一條櫃門鎖匙。,#REF!,#REF!,#REF!,9032？是甚麼東西的密碼嗎？,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,完成結局八,完成结局八,【永遠的愛】,【永远的爱】,陳師奶,欢迎给我们评论喔﹗
設定,设置,平安扣,,樊羽的平安扣,#REF!,#REF!,#REF!,找一下會不會有保險絲換上去,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,第六節&如道具欄有食譜，找陳師奶了解食諎的由來,第六节&如道具栏有食谱，找陈师奶了解食諎的由来,【方娟的廚藝】,【方娟的厨艺】,女學生,結局成就
音樂,音乐,急救箱,上七樓找白飯魚吧，,急救箱,#REF!,#REF!,#REF!,找一下會不會有保險絲換上去,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,第十六節&打開並查看張德軍房間的抽屜,第十六节&打开并查看张德军房间的抽屉,【救命稻草】,【救命稻草】,四眼男生王陽,特別成就
音效,音效,切肉刀,,一把在213單位的切肉刀。鋒利無比。,#REF!,#REF!,#REF!,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,第十九節&打開並查看垃圾房,第十九节&打开并查看垃圾房,【黑化原因】,【黑化原因】,女人,章節成就
配音,配音,213單位的鑰匙,,賴美惠旁邊單位的鑰匙,#REF!,#REF!,#REF!,,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,解鎖其他三個章節成就，並完成選擇章節內的粉紅色章節,解锁其他三个章节成就，并完成选择章节内的粉红色章节,【一隻雞我吃得下】,【一只鸡我吃得下】,小朋友,123456789
語言,语言,煤油,,一罐在213單位的媒油。似乎可以倒進去媒油燈。,#REF!,#REF!,#REF!,好像需要把它點燃，有沒有火呢？,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,第三節&幫忙清理垃圾,第三节&帮忙清理垃圾,【清潔工】,【清洁工】,醉酒漢,
退出遊戲,退出游戏,噴式打火機,,在212室地上找到的噴式打火機。可以用來點燃。,#REF!,#REF!,#REF!,好像需要把它點燃，有沒有火呢？,,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,#REF!,第三節&張德軍被雜物壓住時按他五次,第三节&张德军被杂物压住时按他五次,【肯給我了沒】,【肯给我了没】,謎之女生,
